Date,Time,Operator,Aboard,Fatalities,Ground,Weather_Condition,Phase_of_Flight,IsMilitary,Year,Month,Hour,Is_Night,Survival_Rate,Total_Casualties,Casualty_Rate,Ground_Impact_Ratio,Weather_Risk,Phase_Risk
1980-01-01 00:00:00.000000000,06:00,Commercial Airline,174,42,2,Clear,Approach,0,1980,1,6,0,0.7586206896551724,44,0.25287356321839083,0.044444444444444446,1,2
1980-01-08 16:15:51.351351351,19:00,Private Charter,15,11,1,Clear,Landing,0,1980,1,19,0,0.26666666666666666,12,0.8,0.07692307692307693,1,3
1980-01-16 08:31:42.702702702,14:00,Commercial Airline,209,36,1,Clear,Landing,0,1980,1,14,0,0.8277511961722488,37,0.17703349282296652,0.02631578947368421,1,3
1980-01-24 00:47:34.054054054,10:00,Private Charter,13,8,0,Clear,Cruise,0,1980,1,10,0,0.38461538461538464,8,0.6153846153846154,0.0,1,1
1980-01-31 17:03:25.405405405,07:00,Commercial Airline,189,86,1,Fog,Landing,0,1980,1,7,0,0.544973544973545,87,0.4603174603174603,0.011363636363636364,3,3
1980-02-08 09:19:16.756756757,20:00,Military Transport,109,55,3,Clear,Landing,1,1980,2,20,1,0.4954128440366973,58,0.5321100917431193,0.05084745762711865,1,3
1980-02-16 01:35:08.108108108,06:00,Military Transport,81,40,1,Fog,Landing,1,1980,2,6,0,0.5061728395061729,41,0.5061728395061729,0.023809523809523808,3,3
1980-02-23 17:50:59.459459460,18:00,Commercial Airline,197,18,0,Clear,Approach,0,1980,2,18,0,0.9086294416243654,18,0.09137055837563451,0.0,1,2
1980-03-02 10:06:50.810810811,22:00,Commercial Airline,186,21,1,Clear,Takeoff,0,1980,3,22,1,0.8870967741935484,22,0.11827956989247312,0.043478260869565216,1,3
1980-03-10 02:22:42.162162162,10:00,Commercial Airline,177,30,7,Clear,Takeoff,0,1980,3,10,0,0.8305084745762712,37,0.20903954802259886,0.18421052631578946,1,3
1980-03-17 18:38:33.513513514,10:00,Commercial Airline,130,48,2,Clear,Landing,0,1980,3,10,0,0.6307692307692307,50,0.38461538461538464,0.0392156862745098,1,3
1980-03-25 10:54:24.864864865,23:00,Regional Airline,77,7,1,Clear,Approach,0,1980,3,23,1,0.9090909090909091,8,0.1038961038961039,0.1111111111111111,1,2
1980-04-02 03:10:16.216216216,20:00,Commercial Airline,127,26,0,Rain,Takeoff,0,1980,4,20,1,0.7952755905511811,26,0.2047244094488189,0.0,2,3
1980-04-09 19:26:07.567567568,03:00,Cargo Airline,3,2,0,Clear,Cruise,0,1980,4,3,1,0.3333333333333333,2,0.6666666666666666,0.0,1,1
1980-04-17 11:41:58.918918920,07:00,Commercial Airline,124,36,2,Rain,Takeoff,0,1980,4,7,0,0.7096774193548387,38,0.3064516129032258,0.05128205128205128,2,3
1980-04-25 03:57:50.270270270,23:00,Private Charter,21,14,0,Rain,Cruise,0,1980,4,23,1,0.3333333333333333,14,0.6666666666666666,0.0,2,1
1980-05-02 20:13:41.621621622,02:00,Cargo Airline,5,2,0,Clear,Landing,0,1980,5,2,1,0.6,2,0.4,0.0,1,3
1980-05-10 12:29:32.972972974,21:00,Private Charter,13,9,0,Clear,Landing,0,1980,5,21,1,0.3076923076923077,9,0.6923076923076923,0.0,1,3
1980-05-18 04:45:24.324324324,20:00,Military Transport,77,45,0,Rain,Cruise,1,1980,5,20,1,0.4155844155844156,45,0.5844155844155844,0.0,2,1
1980-05-25 21:01:15.675675676,01:00,Military Transport,108,64,1,Clear,Cruise,1,1980,5,1,1,0.4074074074074074,65,0.6018518518518519,0.015151515151515152,1,1
1980-06-02 13:17:07.027027028,23:00,Commercial Airline,201,93,1,Clear,Takeoff,0,1980,6,23,1,0.5373134328358209,94,0.46766169154228854,0.010526315789473684,1,3
1980-06-10 05:32:58.378378378,11:00,Regional Airline,76,21,1,Fog,Cruise,0,1980,6,11,0,0.7236842105263158,22,0.2894736842105263,0.043478260869565216,3,1
